5,46,3,15,15,16,,,,,,,,,,,,,,,,,,,,
,,,ANG,GLA,LAT,,,,,,,,,,,,,,,,,,,,
Ind,Pop ,TA3,,TA5,,TA7,,TA8,,TL305,,,,,,,,,,,,,,,
FR-AN-01,ANG,241,241,309,309,220,220,313,313,338,338,,,,,,,,,,,,,,
FR-AN-02,ANG,241,241,309,309,220,220,297,297,338,338,,,,,,,,,,,,,,
FR-AN-03,ANG,241,241,309,299,220,220,313,313,338,346,,,,,,,,,,,,,,
FR-AN-04,ANG,241,241,309,299,220,220,313,313,338,338,,,,,,,,,,,,,,
FR-AN-05,ANG,241,241,309,311,220,220,313,313,346,346,,,,,,,,,,,,,,
IO-AN-01,ANG,241,241,309,309,220,220,313,313,338,338,,,,,,,,,,,,,,
IO-AN-02,ANG,241,241,309,299,220,220,297,297,338,354,,,,,,,,,,,,,,
IO-AN-03,ANG,241,241,309,299,220,220,297,297,338,338,,,,,,,,,,,,,,
IO-AN-04,ANG,241,241,309,299,220,220,297,297,338,338,,,,,,,,,,,,,,
IO-AN-05,ANG,241,241,309,299,220,220,297,297,338,338,,,,,,,,,,,,,,
SB-AN-01,ANG,241,241,315,315,220,220,313,313,346,346,,,,,,,,,,,,,,
SB-AN-02,ANG,247,247,311,311,220,220,297,297,338,338,,,,,,,,,,,,,,
SB-AN-03,ANG,241,241,311,311,220,220,297,297,338,346,,,,,,,,,,,,,,
SB-AN-04,ANG,241,247,311,311,220,220,313,297,346,346,,,,,,,,,,,,,,
SB-AN-05,ANG,241,247,311,311,220,220,297,297,338,346,,,,,,,,,,,,,,
FR-GL-01,GLA,241,203,309,299,220,214,313,293,338,354,,,,,,,,,,,,,,
FR-GL-02,GLA,241,203,309,311,220,214,297,293,338,354,,,,,,,,,,,,,,
FR-GL-03,GLA,241,203,299,299,220,214,297,297,346,354,,,,,,,,,,,,,,
FR-GL-04,GLA,241,203,309,299,220,214,313,293,338,354,,,,,,,,,,,,,,
FR-GL-05,GLA,241,203,309,299,220,214,313,293,346,354,,,,,,,,,,,,,,
IO-GL-01,GLA,241,203,309,299,220,214,313,293,338,354,,,,,,,,,,,,,,
IO-GL-02,GLA,241,203,311,299,214,214,313,293,338,354,,,,,,,,,,,,,,
IO-GL-03,GLA,241,203,309,299,220,214,297,293,338,354,,,,,,,,,,,,,,
IO-GL-04,GLA,241,203,309,299,220,214,313,297,338,354,,,,,,,,,,,,,,
IO-GL-05,GLA,241,203,309,299,220,214,313,293,338,354,,,,,,,,,,,,,,
SB-GL-01,GLA,241,203,315,299,220,214,313,293,346,354,,,,,,,,,,,,,,
SB-GL-02,GLA,247,203,311,299,220,214,297,293,346,354,,,,,,,,,,,,,,
SB-GL-03,GLA,241,203,311,299,220,214,297,293,338,354,,,,,,,,,,,,,,
SB-GL-04,GLA,241,203,311,299,220,214,297,293,346,354,,,,,,,,,,,,,,
SB-GL-05,GLA,247,203,311,299,220,214,313,293,338,354,,,,,,,,,,,,,,
FR-LA-01,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
FR-LA-02,LAT,203,203,309,299,214,214,293,293,354,354,,,,,,,,,,,,,,
FR-LA-03,LAT,203,203,309,299,214,214,293,293,354,354,,,,,,,,,,,,,,
FR-LA-04,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
FR-LA-05,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
IO-LA-01,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
IO-LA-02,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
IO-LA-03,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
IO-LA-04,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
IO-LA-05,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
SB-LA-01,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
SB-LA-02,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
SB-LA-03,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
SB-LA-04,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
SB-LA-05,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
SB-LA-06,LAT,203,203,299,299,214,214,293,293,354,354,,,,,,,,,,,,,,
