Sample,TA3,TA5,TA7,TA8,TL305
FR-AN-01,241,309,220,313,338
FR-AN-01,241,309,220,313,338
FR-AN-02,241,309,220,297,338
FR-AN-02,241,309,220,297,338
FR-AN-03,241,309,220,313,338
FR-AN-03,241,299,220,313,346
FR-AN-04,241,309,220,313,338
FR-AN-04,241,299,220,313,338
FR-AN-05,241,309,220,313,346
FR-AN-05,241,311,220,313,346
IO-AN-01,241,309,220,313,338
IO-AN-01,241,309,220,313,338
IO-AN-02,241,309,220,297,338
IO-AN-02,241,299,220,297,354
IO-AN-03,241,309,220,297,338
IO-AN-03,241,299,220,297,338
IO-AN-04,241,309,220,297,338
IO-AN-04,241,299,220,297,338
IO-AN-05,241,309,220,297,338
IO-AN-05,241,299,220,297,338
SB-AN-01,241,315,220,313,346
SB-AN-01,241,315,220,313,346
SB-AN-02,247,311,220,297,338
SB-AN-02,247,311,220,297,338
SB-AN-03,241,311,220,297,338
SB-AN-03,241,311,220,297,346
SB-AN-04,241,311,220,313,346
SB-AN-04,247,311,220,297,346
SB-AN-05,241,311,220,297,338
SB-AN-05,247,311,220,297,346
FR-GL-01,241,309,220,313,338
FR-GL-01,203,299,214,293,354
FR-GL-02,241,309,220,297,338
FR-GL-02,203,311,214,293,354
FR-GL-03,241,299,220,297,346
FR-GL-03,203,299,214,297,354
FR-GL-04,241,309,220,313,338
FR-GL-04,203,299,214,293,354
FR-GL-05,241,309,220,313,346
FR-GL-05,203,299,214,293,354
IO-GL-01,241,309,220,313,338
IO-GL-01,203,299,214,293,354
IO-GL-02,241,311,214,313,338
IO-GL-02,203,299,214,293,354
IO-GL-03,241,309,220,297,338
IO-GL-03,203,299,214,293,354
IO-GL-04,241,309,220,313,338
IO-GL-04,203,299,214,297,354
IO-GL-05,241,309,220,313,338
IO-GL-05,203,299,214,293,354
SB-GL-01,241,315,220,313,346
SB-GL-01,203,299,214,293,354
SB-GL-02,247,311,220,297,346
SB-GL-02,203,299,214,293,354
SB-GL-03,241,311,220,297,338
SB-GL-03,203,299,214,293,354
SB-GL-04,241,311,220,297,346
SB-GL-04,203,299,214,293,354
SB-GL-05,247,311,220,313,338
SB-GL-05,203,299,214,293,354
FR-LA-01,203,299,214,293,354
FR-LA-01,203,299,214,293,354
FR-LA-02,203,309,214,293,354
FR-LA-02,203,299,214,293,354
FR-LA-03,203,309,214,293,354
FR-LA-03,203,299,214,293,354
FR-LA-04,203,299,214,293,354
FR-LA-04,203,299,214,293,354
FR-LA-05,203,299,214,293,354
FR-LA-05,203,299,214,293,354
IO-LA-01,203,299,214,293,354
IO-LA-01,203,299,214,293,354
IO-LA-02,203,299,214,293,354
IO-LA-02,203,299,214,293,354
IO-LA-03,203,299,214,293,354
IO-LA-03,203,299,214,293,354
IO-LA-04,203,299,214,293,354
IO-LA-04,203,299,214,293,354
IO-LA-05,203,299,214,293,354
IO-LA-05,203,299,214,293,354
SB-LA-01,203,299,214,293,354
SB-LA-01,203,299,214,293,354
SB-LA-02,203,299,214,293,354
SB-LA-02,203,299,214,293,354
SB-LA-03,203,299,214,293,354
SB-LA-03,203,299,214,293,354
SB-LA-04,203,299,214,293,354
SB-LA-04,203,299,214,293,354
SB-LA-05,203,299,214,293,354
SB-LA-05,203,299,214,293,354
SB-LA-06,203,299,214,293,354
SB-LA-06,203,299,214,293,354
